ID,Área1,Área,Reason,Etiqueta problemática,Detalle,URL,Output esperado,Texto (primeros 75 caracteres),Conclusiones,Created Date
Doc11,Ruido,Ruido: Proteccion de datos,"Irrelevante Protección de datos y privacidad MAZ: Protección de datos y privacidad MAZ Contexto: MAZ es una mutua colaboradora con la Seguridad Social que ofrece servicios de seguros y asistencia sanitaria en España. Incluye Incluye Reglamentos, leyes u órdenes que modifiquen la LOPDGDD, el RGPD o su desarrollo sectorial. Resoluciones, guías y circulares de la AEPD, EDPB o CEPD con alcance general. Criterios, directrice...",,,https://sede.asturias.es/bopa/2025/07/11/2025-05915.pdf,{},"Doc11: https://sede.asturias.es/bopa BOLETÍN OFICIAL DEL PRINCIPADO DE ASTURIAS núm. 133 de 11-VII-2025 1/14 Cód. 2025-05915 IV. Administración Local Ayuntamientos De Boal Anuncio. Bases y la convocatoria para la constitución de una bolsa de trabajo de Auxiliar del Servicio de Ayuda a Domicilio. Habiéndose aprobado por resolución de Alcaldía n.º 2025-0409, de fecha 4-07-2025 las bases y la convocatoria para la constitución de una bolsa de trabajo de Auxiliar del Servicio de Ayuda a Domicilio se abre",,12 de julio de 2025 12:00
Doc12,Ruido,Ruido: Proteccion de datos,Irrelevante Datos,,,https://www.boa.aragon.es/cgi-bin/EBOA/BRSCGI?CMD=VEROBJ&MLKOB=1403103780909,{},"Doc12: BOLETÍN OFICIAL DE ARAGÓN 10 de julio de 2025 Número 131 csv: BOA20250710023 III. Otras Disposiciones y Acuerdos DEPARTAMENTO DE EDUCACIÓN, CULTURA Y DEPORTE ORDEN ECD/794/2025, de 9 de julio, por la que se aprueban las bases generales por las que se regirán los 43.º Juegos Deportivos en Edad Escolar. El artículo 71.52.ª del Estatuto de Autonomía de Aragón, aprobado mediante Ley Orgánica 5/2007, de 20 de abril, establece la competencia exclusiva de nuestra Comunidad",,12 de julio de 2025 12:00
Doc13,Ruido,Ruido: Proteccion de datos,Protección de datos y privacidad MAZ,,,https://www.juntadeandalucia.es/boja/2025/130/BOJA25-130-00064-9540-01_00323139.pdf,"{ ""Employment & PRL – Gomez Acebo y Pombo"": { ""explicacion"": ""La convocatoria obliga a los centros de formación a incluir módulos de Prevención de Riesgos Laborales (PRL) en los Grados C que no los tenían y con carácter obligatorio en todos los Grados B del certificado SSCE0110, así como a contar con personal tutor dual y sistemas de formación en PRL acreditados. Estas exigencias modifican directamente los contenidos, requisitos de acreditación de centros y personal y los procedimientos de financiación de la formación."", ""nivel_impacto"": ""Medio"" }","Doc13: 00323139 Número 130 - Miércoles, 9 de julio de 2025 página 9540/1 Boletín Oficial de la Junta de Andalucía BOJA BOJA Depósito Legal: SE-410/1979. ISSN: 2253-802X https://www.juntadeandalucia.es/eboja 1. Disposiciones generales CONSEJERÍA DE EMPLEO, EMPRESA Y TRABAJO AUTÓNOMO Resolución de 1 de julio de 2025, de la Dirección General de Formación Profesional para el Empleo, por la que se convoca para el año 2025 la concesión de subvenciones públicas regladas, en régimen de concurrencia competitiva, destinadas",Mete ruido: seguridad social maz y employment gap. no afecta impacto,12 de julio de 2025 12:01
Doc14,Ruido,Ruido: Proteccion de datos,Protección de datos y privacidad MAZ,,,https://sede.asturias.es/bopa/2025/07/08/2025-05539.pdf,{},"Doc14: https://sede.asturias.es/bopa BOLETÍN OFICIAL DEL PRINCIPADO DE ASTURIAS núm. 130 de 8-VII-2025 1/2 Cód. 2025-05539 I. Principado de Asturias Autoridades y Personal •• Consejería de Presidencia, Reto Demográfico, Igualdad y Turismo Resolución de 25 de junio de 2025, de la Consejería de Presidencia, Reto Demográfico, Igualdad y Turismo, por la que se nombra a doña Adriana Cifuentes González Delegada de Protección de Datos. Visto el expediente para la provisión por el procedimiento de libre designación del",,12 de julio de 2025 12:02
Doc15,Ruido,Ruido: SS Maz,No interesan las becas para SS Maz,"Seguridad Social MAZ: Seguridad Social MAZ Contexto: MAZ es una mutua colaboradora con la Seguridad Social que ofrece servicios de seguros y asistencia sanitaria en España. Este agente informa sobre cambios normativos relevantes en cotizaciones, prestaciones sociales, régimen laboral aplicable a mutualistas y modificaciones significativas en procedimientos administrativos de afiliación, alta y ...",No interesa,https://www.boa.aragon.es/cgi-bin/EBOA/BRSCGI?CMD=VEROBJ&MLKOB=1402443780505,{},"Doc15: BOLETÍN OFICIAL DE ARAGÓN 7 de julio de 2025 Número 128 csv: BOA20250707003 I. Disposiciones Generales DEPARTAMENTO DE FOMENTO, VIVIENDA, LOGÍSTICA Y COHESIÓN TERRITORIAL ORDEN FOM/751/2025, de 27 de junio, por la que se aprueban las bases reguladoras para la concesión de becas de formación en el Observatorio Aragonés de Dinamización Demográfica y Poblacional. El Estatuto de Autonomía de Aragón, aprobado por Ley Orgánica 5/2007, de 20 de abril, en su artículo 79 atribuye a","Mete ruido, selecciona MAZ y no deberia: Se equivoca, es solo una remision a rd antiugo, recordatorio y solo para becarios",12 de julio de 2025 12:03
Doc16,Gris,Gris : Enjuicamaiento Civil,Podria entrar o no,"Enjuiciamiento Civil En el contexto de EOS una entidad de gesión de crédito en España, Cambios en la LEC, leyes procesales complementarias u otras disposiciones que reajusten plazos, costas, subastas electrónicas, ejecución hipotecaria o monitorios; incluyen digitalización judicial, criterios sobre admisibilidad de documentos y tasas, dado que modifican directamente la estrategia, el coste y el...",,https://www.boe.es/boe/dias/2025/07/12/pdfs/BOE-A-2025-14416.pdf,"{
""Enjuiciamiento Civil"": {
""explicacion"": ""La Resolución de 10-07-2025 (BOE-A-2025-14416) aprueba la relación de puestos de trabajo de las Oficinas Judiciales que sostendrán los Tribunales de Instancia a partir del 1-10-2025, en ejecución de la Ley Orgánica 1/2025 y el RD 204/2024. La medida es meramente organizativa: no modifica plazos, costas, monitorios, ejecución hipotecaria ni subastas electrónicas reguladas en la LEC. Para EOS basta con actualizar los directorios de órganos judiciales y sus códigos de envío telemático; no se requieren cambios estratégicos ni desarrollos IT significativos."",
""nivel_impacto"": ""Bajo""
}
}
","Doc16: III. OTRAS DISPOSICIONES MINISTERIO DE LA PRESIDENCIA, JUSTICIA Y RELACIONES CON LAS CORTES 14416 Resolución de 10 de julio de 2025, de la Secretaría General para la Innovación y Calidad del Servicio Público de Justicia, por la que se aprueba la relación de puestos de trabajo de las oficinas judiciales del ámbito no transferido en que se constituirán los Tribunales de Instancia en fecha 1 de octubre de 2025. La disposición transitoria primera de la","Gris: No aprece muy grave, no hay apenas cambios para eos, basta con actualizar los directorios de órganos judiciales y sus códigos de envío telemático",12 de julio de 2025 12:10
Doc17,Ruido,Ruido: Proteccion de Datos,Protección de Datos y Privacidad EOS:,,,https://www.boe.es/boe/dias/2025/07/09/pdfs/BOE-A-2025-14160.pdf,{},"Doc17: III. OTRAS DISPOSICIONES MINISTERIO DE LA PRESIDENCIA, JUSTICIA Y RELACIONES CON LAS CORTES 14160 Resolución de 3 de julio de 2025, de la Subsecretaría, por la que se publica el Convenio entre la Agencia Estatal de Administración Digital y la Autoridad Portuaria de Cartagena, para la prestación de los servicios asociados a la utilización de la «Gestión Integrada de Servicios de Registro» como aplicación integral de registro. La Presidenta de la Agencia Estatal de Administración",,12 de julio de 2025 12:15
Doc18,Ruido,Ruido: Residuos ,"Harmon: Novedades normativas en residuos Harmon Harmon.es asesora a una empresa española de economía circular, gestión de residuos, limpieza urbana y mantenimiento de zonas verdes, en la adaptación a su entorno regulatorio. Este agente monitoriza normativa, políticas y resoluciones sobre recogida y triaje de basuras, reciclaje, recuperación de materiales, compostaje, biometanización, biogás, ga...",,,https://sede.asturias.es/bopa/2025/07/11/2025-05741.pdf,{},"Doc18: https://sede.asturias.es/bopa BOLETÍN OFICIAL DEL PRINCIPADO DE ASTURIAS núm. 133 de 11-VII-2025 1/1 Cód. 2025-05741 I. Principado de Asturias Anuncios •• Consejería de Movilidad, Medio Ambiente y Gestión de Emergencias Anuncio por el que se hace pública la Resolución de 27 de mayo de 2025, de la Consejería de Movilidad, Medio Ambiente y Gestión de Emergencias, de otorgamiento de autorización ambiental integrada simplificada a Chatarre­ ría La Arena, S. L., para la instalación de tratamiento de",,12 de julio de 2025 12:30
Doc19,Ruido,Ruido: Convenios / Employment,"Prevención de Riesgos Laborales (PRL) Alerta a la persona responsable técnica de Leopard, que presta servicios de mantenimiento y limpieza en entornos críticos (hospitales, fábricas, centros logísticos). Este agente notifica exclusivamente cambios normativos con fuerza legal y aplicación general que afecten a empresas auxiliares como Leopard, especialmente en contextos de centros de trabajo com...",,,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-13758,{},Doc19: Agencia Estatal Boletín Oficial del Estado Consultar el diario oficial BOE Puede seleccionar otro idioma: Castellanoes esCastellano caCatalà glGalego euEuskara vaValencià enEnglish frFrançais Buscar Mi BOE Desconectado.Pulse para acceder al servicio 'Mi BOE' Menú Menú Diarios Oficiales BOE BORME Otros diarios oficiales Información Jurídica Todo el Derecho Biblioteca Jurídica Digital Otros servicios Notificaciones Edictos judiciales Portal de subastas Anunciantes Datos abiertos Está Vd. en Inicio BOE Documento BOE-A-2025-13758 anterior siguiente Documento BOE-A-2025-13758 Resolución de 24,,12 de julio de 2025 12:35
Doc20,Gris,Gris: Convenio de IG,"Gómez‑Acebo & Pombo asesora a empresas altamente reguladas en sectores clave, combinando rigor jurídico con visión estratégica. Este agente detecta cambios legales en prevención de riesgos laborales y condiciones de trabajo: coordinación de actividades, EPIs, jornada, desconexión digital, igualdad y protección sindical. Cobertura: BOE, DOUE, INSST, DGOSS, boletines autonómicos. No incluye: conv...",Convenio de toda la industria cárnicas,,https://www.boe.es/boe/dias/2025/07/07/pdfs/BOE-A-2025-13965.pdf,"{ ""Employment & PRL – Gomez Acebo y Pombo"": { ""explicacion"": ""El Convenio colectivo estatal de industrias cárnicas establece de modo directo y obligatorio un amplio conjunto de reglas sobre prevención de riesgos laborales y condiciones de trabajo: entrega y uso de ropa y EPIs (art. 76, 79), obligación de limpieza y pausas en cámaras frigoríficas (art. 45, 77), plus de penosidad por ruido y frío (anexo 6 y art. 57), jornada (anexo 2, arts. 40-45) y registro de jornada, horas extraordinarias (arts. 46-47), descansos y vacaciones (arts. 48-49), desconexión digital (disp. complementaria quinta), igualdad y licencias sindicales (arts. 82-85), coordinación de actividades empresariales y demás normas PRL. Crea obligaciones nuevas y de obligado cumplimiento, con amplia cobertura de empresas y trabajadores."", ""nivel_impacto"": ""Alto"" } }","Doc20: III. OTRAS DISPOSICIONES MINISTERIO DE TRABAJO Y ECONOMÍA SOCIAL 13965 Resolución de 27 de junio de 2025, de la Dirección General de Trabajo, por la que se registra y publica el Convenio colectivo estatal de industrias cárnicas. Visto el texto del Convenio colectivo estatal de industrias cárnicas (Código de Convenio n.º 99000875011981), que fue suscrito con fecha 17 de febrero de 2025, de una parte por las asociaciones empresariales ANICE, FECIC, ANAGRASA, ANAFRIC y AGEMCEX,",,12 de julio de 2025 12:36
Doc21,Ruido,Ruido: Convenios,"En el contexto de EOS una entidad de gesión de crédito en España, Única y exclusivamente, resoluciones AEPD y otra normativa que altere y crea un nuevo criterio interpretativo en materia de bases de legitimación, profiling, conservación, transferencias internacionales o sanciones de datos, todo ello APLICABLE al tratamiento de información de deudores y cesionarios; esencial para adaptar sistema...",,,https://www.boe.es/boe/dias/2025/07/10/pdfs/BOE-A-2025-14273.pdf,{},"Doc21: III. OTRAS DISPOSICIONES MINISTERIO DE LA PRESIDENCIA, JUSTICIA Y RELACIONES CON LAS CORTES 14273 Resolución de 3 de julio de 2025, de la Subsecretaría, por la que se publica el Convenio entre la Agencia Estatal de Administración Digital y el Fondo Español de Garantía Agraria, O.A., para la prestación de los servicios asociados a la utilización de la «Gestión Integrada de Servicios de Registro» como aplicación integral de registro. La Presidenta de la Agencia Estatal",,12 de julio de 2025 12:39
