Área,Reason,Etiqueta problemática,Detalle,URL,Output esperado,Texto 1,Output1,Solución,Created Date
Ruido: Proteccion de datos,"Irrelevante protección de datos maz: Protección de Datos MAZ
Contexto: MAZ es una mutua colaboradora con la Seguridad Social que ofrece servicios de seguros y asistencia sanitaria en España. Incluye Incluye Reglamentos, leyes u órdenes que modifiquen la LOPDGDD, el RGPD o su desarrollo sectorial. Resoluciones, guías y circulares de la AEPD, EDPB o CEPD con alcance general. Criterios, directrices o sanciones de interés transversal sobre tratamiento de datos de salud, IA o brechas de seguridad. No incluye Nombramientos o ceses de delegados de protección de datos en entidades concretas. Sanciones o resoluciones singulares sin valor doctrinal. Acuerdos o convenios privados sin fuerza normativa, ni subvenciones que introducen novedades en datos. Únicamente lo relevante para la empresa Maz.",,,https://sede.asturias.es/bopa/2025/07/11/2025-05915.pdf,{},,,,12 de julio de 2025 12:00
Ruido: Proteccion de datos,Irrelevante Datos,,,https://www.boa.aragon.es/cgi-bin/EBOA/BRSCGI?CMD=VEROBJ&MLKOB=1403103780909,{},,,,12 de julio de 2025 12:00
Ruido: Proteccion de datos,Protección de Datos MAZ,,,https://www.juntadeandalucia.es/boja/2025/130/BOJA25-130-00064-9540-01_00323139.pdf,{},,Mete ruido: seguridad social maz y employment gap. no afecta impacto,,12 de julio de 2025 12:01
Ruido: Proteccion de datos,Protección de Datos MAZ,,,https://sede.asturias.es/bopa/2025/07/08/2025-05539.pdf,{},,,,12 de julio de 2025 12:02
,"Seguridad Social MAZ: Seguridad Social MAZ
Contexto: MAZ es una mutua colaboradora con la Seguridad Social que ofrece servicios de seguros y asistencia sanitaria en España. Este agente informa sobre cambios normativos relevantes en cotizaciones, prestaciones sociales, régimen laboral aplicable a mutualistas y modificaciones significativas en procedimientos administrativos de afiliación, alta y baja, excluyendo convenios interadministrativos o acuerdos de colaboración sin impacto normativo sustancial. Justificación: Facilita a MAZ adaptar procesos internos, optimizar su operativa aseguradora y garantizar cumplimiento preciso ante cambios importantes del marco laboral y de seguridad social.",,,https://www.boa.aragon.es/cgi-bin/EBOA/BRSCGI?CMD=VEROBJ&MLKOB=1402443780505,{},,"Mete ruido, selecciona MAZ y no deberia: Se equivoca, es solo una remision a rd antiugo, recordatorio y solo para becarios",,12 de julio de 2025 12:03
,"Enjuiciamiento Civil
En el contexto de EOS una entidad de gesión de crédito en España, Cambios en la LEC, leyes procesales complementarias u otras disposiciones que reajusten plazos, costas, subastas electrónicas, ejecución hipotecaria o monitorios; incluyen digitalización judicial, criterios sobre admisibilidad de documentos y tasas, dado que modifican directamente la estrategia, el coste y el calendario de recuperación de NPL",,,https://www.boe.es/boe/dias/2025/07/12/pdfs/BOE-A-2025-14416.pdf,"{
""Enjuiciamiento Civil – EOS"": {
""explicacion"": ""La Resolución de 10-07-2025 (BOE-A-2025-14416) aprueba la relación de puestos de trabajo de las Oficinas Judiciales que sostendrán los Tribunales de Instancia a partir del 1-10-2025, en ejecución de la Ley Orgánica 1/2025 y el RD 204/2024. La medida es meramente organizativa: no modifica plazos, costas, monitorios, ejecución hipotecaria ni subastas electrónicas reguladas en la LEC. Para EOS basta con actualizar los directorios de órganos judiciales y sus códigos de envío telemático; no se requieren cambios estratégicos ni desarrollos IT significativos."",
""nivel_impacto"": ""Bajo""
}
}
",,"Gris: No aprece muy grave, no hay apenas cambios para eos, basta con actualizar los directorios de órganos judiciales y sus códigos de envío telemático",,12 de julio de 2025 12:10
,"Protección de Datos y Privacidad EOS: ",,,https://www.boe.es/boe/dias/2025/07/09/pdfs/BOE-A-2025-14160.pdf,{},,,,12 de julio de 2025 12:15
,"Harmon: Novedades normativas en residuos Harmon
Harmon.es asesora a una empresa española de economía circular, gestión de residuos, limpieza urbana y mantenimiento de zonas verdes, en la adaptación a su entorno regulatorio. Este agente monitoriza normativa, políticas y resoluciones sobre recogida y triaje de basuras, reciclaje, recuperación de materiales, compostaje, biometanización, biogás, gasificación, incineración y valorización de residuos. También cubre limpieza viaria, mantenimiento de parques/jardines y contratos públicos de basuras e industriales. Permite al consultor identificar cambios en la Ley de residuos, requisitos técnicos, trazabilidad, licencias, obligaciones ambientales, subvenciones verdes y oportunidades en economía circular. Facilita la anticipación de riesgos regulatorios y la construcción de estrategias de licitación, sostenibilidad y propósito empresarial. NO inluye conevnios o informes de proyectos en específico.",,,https://sede.asturias.es/bopa/2025/07/11/2025-05741.pdf,{},,,,12 de julio de 2025 12:30
,"Prevención de Riesgos Laborales (PRL)
Alerta a la persona responsable técnica de Leopard, que presta servicios de mantenimiento y limpieza en entornos críticos (hospitales, fábricas, centros logísticos). Este agente notifica exclusivamente cambios normativos con fuerza legal y aplicación general que afecten a empresas auxiliares como Leopard, especialmente en contextos de centros de trabajo compartidos. Filtra modificaciones en la Ley 31/1995 y en los RD 39/1997, 486/1997, 1215/1997, 773/1997 y 171/2004, así como normativa autonómica con efectos directos. No debe activarse con convenios colectivos, resoluciones sobre empresas concretas o documentos sin valor normativo vinculante, aunque incluyan contenido sobre PRL. Solo se procesan alertas con obligación legal directa y generalizable para Leopard.",,,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-13758,{},,,,12 de julio de 2025 12:35
,"Gómez‑Acebo & Pombo asesora a empresas altamente reguladas en sectores clave, combinando rigor jurídico con visión estratégica. Este agente detecta cambios legales en prevención de riesgos laborales y condiciones de trabajo: coordinación de actividades, EPIs, jornada, desconexión digital, igualdad y protección sindical.

Cobertura: BOE, DOUE, INSST, DGOSS, boletines autonómicos.

No incluye: convenios colectivos (estatales, autonómicos o de empresa), informes técnicos sin valor normativo, resoluciones judiciales aisladas.",,,https://www.boe.es/boe/dias/2025/07/07/pdfs/BOE-A-2025-13965.pdf,{},,,,12 de julio de 2025 12:36
,"En el contexto de EOS una entidad de gesión de crédito en España, Única y exclusivamente, resoluciones AEPD y otra normativa que altere y crea un nuevo criterio interpretativo en materia de bases de legitimación, profiling, conservación, transferencias internacionales o sanciones de datos, todo ello APLICABLE al tratamiento de información de deudores y cesionarios; esencial para adaptar sistemas, contratos y evitar multas.",,,https://www.boe.es/boe/dias/2025/07/10/pdfs/BOE-A-2025-14273.pdf,{},,,,12 de julio de 2025 12:39
,"Descripción:
Gómez-Acebo & Pombo asesora en procedimientos concursales complejos, combinando defensa jurídica, estrategia procesal y control económico del procedimiento. Este agente detecta normas que modifican la retribución, designación, funciones o límites de la administración concursal, así como la interacción con registradores, fases de liquidación y prelación de créditos. Incluye: leyes, reales decretos y reformas del texto refundido de la Ley Concursal que alteren reglas sobre honorarios, control judicial, cobro, designación o requisitos registrales.No incluye: informes doctrinales, resoluciones aisladas ni reformas generales que no afecten específicamente a la figura de la administración concursal.",,,https://www.boe.es/buscar/act.php?id=BOE-A-2025-76,"{
""Administración Concursal – Gomez Acebo y Pombo"": {
""explicacion"": ""Se modifica el régimen económico y funcional de la administración concursal, estableciendo un límite máximo de retribución (el menor entre un porcentaje del activo y una cantidad fija), salvo autorización motivada del juez. Se exige al registrador comprobar la existencia de reglas especiales de liquidación antes de inscribir enajenaciones concursales. Además, se altera el orden de cobro de honorarios cuando lo solicite el deudor y se amplían los supuestos en los que el juez puede nombrar administrador concursal de oficio o a solicitud de un único acreedor."",
""nivel_impacto"": ""Alto""
}, ""Enjuiciamiento Civil"": {
""explicacion"": ""La Ley Orgánica 1/2025 reforma en profundidad la Ley de Enjuiciamiento Civil: hace obligatorio intentar medios adecuados de solución de controversias (negociación asistida, mediación, conciliación, etc.) como requisito de procedibilidad, modifica la tasación e imposición de costas, introduce la noción de “abuso del servicio público de Justicia”, endurece intereses de demora para empresarios que litigan contra consumidores y reestructura la ejecución (nuevas reglas de subasta, decomiso autónomo, suspensión para ADR). Estas novedades afectan directamente a EOS, pues alteran plazos, costes y estrategia procesal en monitorios, ejecutivos y reclamaciones de NPL, exigiendo adaptación inmediata de workflows y plantillas procesales."",
""nivel_impacto"": ""Alto""
},
""Consumo"": {
""explicacion"": ""La norma establece que, antes de demandar, el consumidor deberá presentar reclamación extrajudicial frente al prestamista por cláusulas suelo u otras abusivas y prevé sanciones procesales (costas, intereses punitivos) si la entidad no coopera; además, vincula el requisito de ADR a las reclamaciones ante Banco de España, CNMV o mecanismos ADR consumo. Ello impone a EOS y a sus cedentes nuevos deberes de atención previa, refuerzo de protocolos de SAC y mayor riesgo económico si se rehúsa la negociación."",
""nivel_impacto"": ""Medio""
}
}
",,,,12 de julio de 2025 12:49
,"Nuevo agenteResiduos y Medio Ambiente GAyPombo
Gómez-Acebo & Pombo asesora a empresas altamente reguladas en sectores clave, combinando rigor jurídico con visión estratégica. Este agente detecta nuevas normas, actualizaciones y documentos vinculantes sobre residuos, economía circular, vertederos, envases y responsabilidad ampliada del productor. Incluye proyectos en consulta y softlaw. Cobertura: BOE, DOUE, boletines autonómicos y publicaciones oficiales (MITECO, comunidades autónomas y ayuntamientos), incluso cuando no figuren en fuentes agregadas. Incluye: leyes, reales decretos, decretos autonómicos, órdenes y ordenanzas definitivas que introduzcan obligaciones o tarifas. No incluye: planes estratégicos, subvenciones y ayudas, programas o convenios sin fuerza normativa, informes de impacto ambiental, resoluciones judiciales aisladas.",,,https://www.boa.aragon.es/cgi-bin/EBOA/BRSCGI?CMD=VEROBJ&MLKOB=1403482620505,{},,,"Softlaw era el probelma, he añadido que no meitera proyectos con impacto en la definición y listo!",14 de julio de 2025 19:37
,Nuevo agenteResiduos y Medio Ambiente GAyPombo,,,https://www.boa.aragon.es/cgi-bin/EBOA/BRSCGI?CMD=VEROBJ&MLKOB=1403480600505,{},,,"Softlaw era el probelma, he añadido que no meitera proyectos con impacto en la definición y listo!",14 de julio de 2025 19:38
,Nuevo agenteResiduos y Medio Ambiente GAyPombo,,,https://www.boa.aragon.es/cgi-bin/EBOA/BRSCGI?CMD=VEROBJ&MLKOB=1403484640606,{},,,"Softlaw era el probelma, he añadido que no meitera proyectos con impacto en la definición y listo!",14 de julio de 2025 19:38
